"Time","S","R1","R2","RB"
0.900000000000001,974,0,0,0
0.910000000000001,971,0,0,0
0.920000000000001,969,0,0,0
0.930000000000001,974,0,0,0
0.940000000000001,972,0,0,0
0.950000000000001,967,0,0,0
0.960000000000001,969,0,0,0
0.970000000000001,966,0,0,0
0.980000000000001,965,0,0,0
0.990000000000001,964,0,0,0
1,966,0,0,0
1.01,965,0,0,0
1.02,964,0,0,0
1.03,965,0,0,0
1.04,965,0,0,0
1.05,958,0,0,0
1.06,965,0,0,0
1.07,961,0,0,0
1.08,961,0,0,0
1.09,952,0,0,0
1.1,949,0,0,0
1.11,941,0,0,0
1.12,935,0,0,0
1.13,937,0,0,0
1.14,931,0,0,0
1.15,931,0,0,0
1.16,922,0,0,0
1.17,918,0,0,0
1.18,924,0,0,0
1.19,922,0,0,0
1.2,918,0,0,0
1.21,922,0,0,0
1.22,926,0,0,0
1.23,926,0,0,0
1.24,932,0,0,0
1.25,935,0,0,0
1.26,937,0,0,0
1.27,927,0,0,0
1.28,923,0,0,0
1.29,917,0,0,0
1.3,912,0,0,0
1.31,916,0,0,0
1.32,913,0,0,0
1.33,907,0,0,0
1.34,909,0,0,0
1.35,907,0,0,0
1.36,910,0,0,0
1.37,909,0,0,0
1.38,907,0,0,0
1.39,905,0,0,0
1.4,900,0,0,0
1.41,898,0,0,0
1.42,901,0,0,0
1.43,899,0,0,0
1.44,899,0,0,0
1.45,898,0,0,0
1.46,891,0,0,0
1.47,885,0,0,0
1.48,883,0,0,0
1.49,878,0,0,0
1.5,879,0,0,0
1.51,882,0,0,0
1.52,876,0,0,0
1.53,872,0,0,0
1.54,872,0,0,0
1.55,871,0,0,0
1.56,865,0,0,0
1.57,872,0,0,0
1.58,869,0,0,0
1.59,868,0,0,0
1.6,864,0,0,0
1.61,866,0,0,0
1.62,862,0,0,0
1.63,863,0,0,0
1.64,856,0,0,0
1.65,857,0,0,0
1.66,860,0,0,0
1.67,856,0,0,0
1.68,855,0,0,0
1.69,854,0,0,0
1.7,859,0,0,0
1.71,861,0,0,0
1.72,862,0,0,0
1.73,858,0,0,0
1.74,855,0,0,0
1.75,843,0,0,0
1.76,838,0,0,0
1.77,835,0,0,0
1.78,839,0,0,0
1.79,840,0,0,0
1.8,837,0,0,0
1.81,836,0,0,0
1.82,834,0,0,0
1.83,827,0,0,0
1.84,830,0,0,0
1.85,828,0,0,0
1.86,830,0,0,0
1.87,831,0,0,0
1.88,827,0,0,0
1.89,825,0,0,0
1.9,818,0,0,0
1.91,817,0,0,0
1.92,813,0,0,0
1.93,808,0,0,0
1.94,806,0,0,0
1.95,811,0,0,0
1.96,810,0,0,0
1.97,811,0,0,0
1.98,805,0,0,0
1.99,804,0,0,0
2,802,0,0,0
2.01,804,0,0,0
2.02,805,0,0,0
2.03,812,0,0,0
2.04,808,0,0,0
2.05,801,0,0,0
2.06,804,0,0,0
2.07,806,0,0,0
2.08,800,0,0,0
2.09,800,0,0,0
2.1,805,0,0,0
2.11,799,0,0,0
2.12,803,0,0,0
2.13,806,0,0,0
2.14,802,0,0,0
2.15,797,0,0,0
2.16,798,0,0,0
2.17,793,0,0,0
2.18,798,0,0,0
2.19,799,0,0,0
2.2,797,0,0,0
2.21,792,0,0,0
2.22,795,0,0,0
2.23,792,0,0,0
2.24,796,0,0,0
2.25,798,0,0,0
2.26,801,0,0,0
2.27,808,0,0,0
2.28,815,0,0,0
2.29,815,0,0,0
2.3,814,0,0,0
2.30999999999999,817,0,0,0
2.31999999999999,821,0,0,0
2.32999999999999,820,0,0,0
2.33999999999999,825,0,0,0
2.34999999999999,829,0,0,0
2.35999999999999,828,0,0,0
2.36999999999999,833,0,0,0
2.37999999999999,834,0,0,0
2.38999999999999,839,0,0,0
2.39999999999999,837,0,0,0
2.40999999999999,836,0,0,0
2.41999999999999,836,0,0,0
2.42999999999999,834,0,0,0
2.43999999999999,828,0,0,0
2.44999999999999,824,0,0,0
2.45999999999999,827,0,0,0
2.46999999999999,823,0,0,0
2.47999999999999,822,0,0,0
2.48999999999999,817,0,0,0
2.49999999999999,823,0,0,0
2.50999999999999,823,0,0,0
2.51999999999999,823,0,0,0
2.52999999999999,825,0,0,0
2.53999999999999,825,0,0,0
2.54999999999999,826,0,0,0
2.55999999999999,827,0,0,0
2.56999999999999,829,0,0,0
2.57999999999999,828,0,0,0
2.58999999999999,830,0,0,0
2.59999999999999,828,0,0,0
2.60999999999999,819,0,0,0
2.61999999999999,811,0,0,0
2.62999999999999,807,0,0,0
2.63999999999999,807,0,0,0
2.64999999999999,805,0,0,0
2.65999999999999,805,0,0,0
2.66999999999999,799,0,0,0
2.67999999999999,802,0,0,0
2.68999999999999,811,0,0,0
2.69999999999999,804,0,0,0
2.70999999999999,815,0,0,0
2.71999999999999,810,0,0,0
2.72999999999999,811,0,0,0
2.73999999999999,819,0,0,0
2.74999999999999,814,0,0,0
2.75999999999999,813,0,0,0
2.76999999999998,807,0,0,0
2.77999999999998,812,0,0,0
2.78999999999998,814,0,0,0
2.79999999999998,818,0,0,0
2.80999999999998,816,0,0,0
2.81999999999998,821,0,0,0
2.82999999999998,824,0,0,0
2.83999999999998,826,0,0,0
2.84999999999998,823,0,0,0
2.85999999999998,825,0,0,0
2.86999999999998,823,0,0,0
2.87999999999998,823,0,0,0
2.88999999999998,821,0,0,0
2.89999999999998,819,0,0,0
2.90999999999998,827,0,0,0
2.91999999999998,821,0,0,0
2.92999999999998,824,0,0,0
2.93999999999998,819,0,0,0
2.94999999999998,817,0,0,0
2.95999999999998,816,0,0,0
2.96999999999998,815,0,0,0
2.97999999999998,812,0,0,0
2.98999999999998,813,0,0,0
2.99999999999998,810,0,0,0
3.00999999999998,805,0,0,0
3.01999999999998,808,0,0,0
3.02999999999998,807,0,0,0
3.03999999999998,801,0,0,0
3.04999999999998,803,0,0,0
3.05999999999998,802,0,0,0
3.06999999999998,798,0,0,0
3.07999999999998,801,0,0,0
3.08999999999998,799,0,0,0
3.09999999999998,802,0,0,0
3.10999999999998,796,0,0,0
3.11999999999998,792,0,0,0
3.12999999999998,784,0,0,0
3.13999999999998,790,0,0,0
3.14999999999998,787,0,0,0
3.15999999999998,786,0,0,0
3.16999999999998,783,0,0,0
3.17999999999998,783,0,0,0
3.18999999999998,773,0,0,0
3.19999999999998,766,0,0,0
3.20999999999998,773,0,0,0
3.21999999999998,771,0,0,0
3.22999999999998,770,0,0,0
3.23999999999997,771,0,0,0
3.24999999999997,767,0,0,0
3.25999999999997,769,0,0,0
3.26999999999997,771,0,0,0
3.27999999999997,773,0,0,0
3.28999999999997,770,0,0,0
3.29999999999997,767,0,0,0
3.30999999999997,761,0,0,0
3.31999999999997,757,0,0,0
3.32999999999997,756,0,0,0
3.33999999999997,748,0,0,0
3.34999999999997,749,0,0,0
3.35999999999997,750,0,0,0
3.36999999999997,747,0,0,0
3.37999999999997,745,0,0,0
3.38999999999997,746,0,0,0
3.39999999999997,742,0,0,0
3.40999999999997,744,0,0,0
3.41999999999997,746,0,0,0
3.42999999999997,754,0,0,0
3.43999999999997,755,0,0,0
3.44999999999997,748,0,0,0
3.45999999999997,745,0,0,0
3.46999999999997,748,0,0,0
3.47999999999997,744,0,0,0
3.48999999999997,745,0,0,0
3.49999999999997,741,0,0,0
3.50999999999997,736,0,0,0
3.51999999999997,742,0,0,0
3.52999999999997,736,0,0,0
3.53999999999997,736,0,0,0
3.54999999999997,731,0,0,0
3.55999999999997,734,0,0,0
3.56999999999997,731,0,0,0
3.57999999999997,732,0,0,0
3.58999999999997,728,0,0,0
3.59999999999997,735,0,0,0
3.60999999999997,730,0,0,0
3.61999999999997,729,0,0,0
3.62999999999997,724,0,0,0
3.63999999999997,719,0,0,0
3.64999999999997,721,0,0,0
3.65999999999997,727,0,0,0
3.66999999999997,727,0,0,0
3.67999999999997,723,0,0,0
3.68999999999997,723,0,0,0
3.69999999999997,726,0,0,0
3.70999999999996,719,0,0,0
3.71999999999996,712,0,0,0
3.72999999999996,714,0,0,0
3.73999999999996,719,0,0,0
3.74999999999996,724,0,0,0
3.75999999999996,720,0,0,0
3.76999999999996,718,0,0,0
3.77999999999996,719,0,0,0
3.78999999999996,718,0,0,0
3.79999999999996,715,0,0,0
3.80999999999996,719,0,0,0
3.81999999999996,725,0,0,0
3.82999999999996,723,0,0,0
3.83999999999996,720,0,0,0
3.84999999999996,716,0,0,0
3.85999999999996,710,0,0,0
3.86999999999996,709,0,0,0
3.87999999999996,708,0,0,0
3.88999999999996,704,0,0,0
3.89999999999996,703,0,0,0
3.90999999999996,709,0,0,0
3.91999999999996,715,0,0,0
3.92999999999996,708,0,0,0
3.93999999999996,709,0,0,0
3.94999999999996,708,0,0,0
3.95999999999996,707,0,0,0
3.96999999999996,707,0,0,0
3.97999999999996,703,0,0,0
3.98999999999996,695,0,0,0
3.99999999999996,697,0,0,0
4.00999999999996,693,0,0,0
4.01999999999996,690,0,0,0
4.02999999999996,690,0,0,0
4.03999999999996,698,0,0,0
4.04999999999996,698,0,0,0
4.05999999999996,701,0,0,0
4.06999999999996,701,0,0,0
4.07999999999996,697,0,0,0
4.08999999999996,699,0,0,0
4.09999999999996,699,0,0,0
4.10999999999996,698,0,0,0
4.11999999999996,692,0,0,0
4.12999999999996,698,0,0,0
4.13999999999996,690,0,0,0
4.14999999999996,693,0,0,0
4.15999999999996,691,0,0,0
4.16999999999996,695,0,0,0
4.17999999999996,695,0,0,0
4.18999999999996,698,0,0,0
4.19999999999995,699,0,0,0
4.20999999999995,706,0,0,0
4.21999999999995,702,0,0,0
4.22999999999995,696,0,0,0
4.23999999999995,701,0,0,0
4.24999999999995,699,0,0,0
4.25999999999995,704,0,0,0
4.26999999999995,707,0,0,0
4.27999999999995,712,0,0,0
4.28999999999995,710,0,0,0
4.29999999999995,711,0,0,0
4.30999999999995,706,0,0,0
4.31999999999995,699,0,0,0
4.32999999999995,699,0,0,0
4.33999999999995,702,0,0,0
4.34999999999995,696,0,0,0
4.35999999999995,697,0,0,0
4.36999999999995,689,0,0,0
4.37999999999995,686,0,0,0
4.38999999999995,681,0,0,0
4.39999999999995,678,0,0,0
4.40999999999995,682,0,0,0
4.41999999999995,680,0,0,0
4.42999999999995,678,0,0,0
4.43999999999995,677,0,0,0
4.44999999999995,681,0,0,0
4.45999999999995,681,0,0,0
4.46999999999995,682,0,0,0
4.47999999999995,682,0,0,0
4.48999999999995,677,0,0,0
4.49999999999995,681,0,0,0
4.50999999999995,686,0,0,0
4.51999999999995,688,0,0,0
4.52999999999995,681,0,0,0
4.53999999999995,685,0,0,0
4.54999999999995,674,0,0,0
4.55999999999995,672,0,0,0
4.56999999999995,670,0,0,0
4.57999999999995,671,0,0,0
4.58999999999995,670,0,0,0
4.59999999999995,665,0,0,0
4.60999999999995,665,0,0,0
4.61999999999995,665,0,0,0
4.62999999999995,664,0,0,0
4.63999999999995,668,0,0,0
4.64999999999995,669,0,0,0
4.65999999999995,669,0,0,0
4.66999999999994,676,0,0,0
4.67999999999994,679,0,0,0
4.68999999999994,682,0,0,0
4.69999999999994,674,0,0,0
4.70999999999994,680,0,0,0
4.71999999999994,683,0,0,0
4.72999999999994,684,0,0,0
4.73999999999994,686,0,0,0
4.74999999999994,686,0,0,0
4.75999999999994,684,0,0,0
4.76999999999994,680,0,0,0
4.77999999999994,680,0,0,0
4.78999999999994,675,0,0,0
4.79999999999994,676,0,0,0
4.80999999999994,685,0,0,0
4.81999999999994,682,0,0,0
4.82999999999994,675,0,0,0
4.83999999999994,684,0,0,0
4.84999999999994,687,0,0,0
4.85999999999994,685,0,0,0
4.86999999999994,684,0,0,0
4.87999999999994,684,0,0,0
4.88999999999994,678,0,0,0
4.89999999999994,680,0,0,0
4.90999999999994,677,0,0,0
4.91999999999994,674,0,0,0
4.92999999999994,678,0,0,0
4.93999999999994,680,0,0,0
4.94999999999994,686,0,0,0
4.95999999999994,684,0,0,0
4.96999999999994,692,0,0,0
4.97999999999994,692,0,0,0
4.98999999999994,694,0,0,0
4.99999999999994,702,0,0,0
5.00999999999994,699,0,0,0
5.01999999999994,697,0,0,0
5.02999999999994,694,0,0,0
5.03999999999994,693,0,0,0
5.04999999999994,701,0,0,0
5.05999999999994,696,0,0,0
5.06999999999994,689,0,0,0
5.07999999999994,692,0,0,0
5.08999999999994,690,0,0,0
5.09999999999994,690,0,0,0
5.10999999999994,689,0,0,0
5.11999999999994,690,0,0,0
5.12999999999994,687,0,0,0
5.13999999999993,685,0,0,0
5.14999999999993,689,0,0,0
5.15999999999993,692,0,0,0
5.16999999999993,695,0,0,0
5.17999999999993,694,0,0,0
5.18999999999993,693,0,0,0
5.19999999999993,692,0,0,0
5.20999999999993,685,0,0,0
5.21999999999993,687,0,0,0
5.22999999999993,692,0,0,0
5.23999999999993,692,0,0,0
5.24999999999993,693,0,0,0
5.25999999999993,690,0,0,0
5.26999999999993,686,0,0,0
5.27999999999993,682,0,0,0
5.28999999999993,682,0,0,0
5.29999999999993,681,0,0,0
5.30999999999993,684,0,0,0
5.31999999999993,685,0,0,0
5.32999999999993,680,0,0,0
5.33999999999993,682,0,0,0
5.34999999999993,683,0,0,0
5.35999999999993,679,0,0,0
5.36999999999993,679,0,0,0
5.37999999999993,682,0,0,0
5.38999999999993,684,0,0,0
5.39999999999993,689,0,0,0
5.40999999999993,684,0,0,0
5.41999999999993,684,0,0,0
5.42999999999993,684,0,0,0
5.43999999999993,677,0,0,0
5.44999999999993,671,0,0,0
5.45999999999993,670,0,0,0
5.46999999999993,672,0,0,0
5.47999999999993,674,0,0,0
5.48999999999993,671,0,0,0
5.49999999999993,673,0,0,0
5.50999999999993,672,0,0,0
5.51999999999993,666,0,0,0
5.52999999999993,662,0,0,0
5.53999999999993,666,0,0,0
5.54999999999993,667,0,0,0
5.55999999999993,670,0,0,0
5.56999999999993,676,0,0,0
5.57999999999993,673,0,0,0
5.58999999999993,669,0,0,0
5.59999999999993,675,0,0,0
5.60999999999992,678,0,0,0
5.61999999999992,668,0,0,0
5.62999999999992,671,0,0,0
5.63999999999992,667,0,0,0
5.64999999999992,663,0,0,0
5.65999999999992,667,0,0,0
5.66999999999992,667,0,0,0
5.67999999999992,666,0,0,0
5.68999999999992,670,0,0,0
5.69999999999992,669,0,0,0
5.70999999999992,666,0,0,0
5.71999999999992,671,0,0,0
5.72999999999992,676,0,0,0
5.73999999999992,673,0,0,0
5.74999999999992,670,0,0,0
5.75999999999992,665,0,0,0
5.76999999999992,665,0,0,0
5.77999999999992,667,0,0,0
5.78999999999992,670,0,0,0
5.79999999999992,667,0,0,0
5.80999999999992,674,0,0,0
5.81999999999992,670,0,0,0
5.82999999999992,670,0,0,0
5.83999999999992,670,0,0,0
5.84999999999992,667,0,0,0
5.85999999999992,668,0,0,0
5.86999999999992,671,0,0,0
5.87999999999992,669,0,0,0
5.88999999999992,670,0,0,0
5.89999999999992,668,0,0,0
5.90999999999992,667,0,0,0
5.91999999999992,665,0,0,0
5.92999999999992,668,0,0,0
5.93999999999992,666,0,0,0
5.94999999999992,668,0,0,0
5.95999999999992,671,0,0,0
5.96999999999992,671,0,0,0
5.97999999999992,667,0,0,0
5.98999999999992,670,0,0,0
5.99999999999992,670,0,0,0
6.00999999999992,676,0,0,0
6.01999999999992,674,0,0,0
6.02999999999992,676,0,0,0
6.03999999999992,669,0,0,0
6.04999999999992,672,0,0,0
6.05999999999992,670,0,0,0
6.06999999999992,671,0,0,0
6.07999999999991,671,0,0,0
6.08999999999991,672,0,0,0
6.09999999999991,672,0,0,0
6.10999999999991,671,0,0,0
6.11999999999991,672,0,0,0
6.12999999999991,674,0,0,0
6.13999999999991,669,0,0,0
6.14999999999991,667,0,0,0
6.15999999999991,664,0,0,0
6.16999999999991,667,0,0,0
6.17999999999991,662,0,0,0
6.18999999999991,664,0,0,0
6.19999999999991,663,0,0,0
6.20999999999991,661,0,0,0
6.21999999999991,662,0,0,0
6.22999999999991,658,0,0,0
6.23999999999991,661,0,0,0
6.24999999999991,659,0,0,0
6.25999999999991,654,0,0,0
6.26999999999991,659,0,0,0
6.27999999999991,654,0,0,0
6.28999999999991,654,0,0,0
6.29999999999991,655,0,0,0
6.30999999999991,656,0,0,0
6.31999999999991,653,0,0,0
6.32999999999991,648,0,0,0
6.33999999999991,645,0,0,0
6.34999999999991,643,0,0,0
6.35999999999991,643,0,0,0
6.36999999999991,640,0,0,0
6.37999999999991,642,0,0,0
6.38999999999991,642,0,0,0
6.39999999999991,634,0,0,0
6.40999999999991,640,0,0,0
6.41999999999991,638,0,0,0
6.42999999999991,644,0,0,0
6.43999999999991,645,0,0,0
6.44999999999991,647,0,0,0
6.45999999999991,649,0,0,0
6.46999999999991,650,0,0,0
6.47999999999991,653,0,0,0
6.48999999999991,656,0,0,0
6.49999999999991,656,0,0,0
6.50999999999991,652,0,0,0
6.5199999999999,652,0,0,0
6.5299999999999,649,0,0,0
6.5399999999999,644,0,0,0
6.5499999999999,648,0,0,0
6.5599999999999,638,0,0,0
6.5699999999999,640,0,0,0
6.5799999999999,639,0,0,0
6.5899999999999,639,0,0,0
6.5999999999999,637,0,0,0
6.6099999999999,636,0,0,0
6.6199999999999,634,0,0,0
6.6299999999999,635,0,0,0
6.6399999999999,641,0,0,0
6.6499999999999,643,0,0,0
6.6599999999999,637,0,0,0
6.6699999999999,636,0,0,0
6.6799999999999,637,0,0,0
6.6899999999999,634,0,0,0
6.6999999999999,631,0,0,0
6.7099999999999,630,0,0,0
6.7199999999999,631,0,0,0
6.7299999999999,632,0,0,0
6.7399999999999,633,0,0,0
6.7499999999999,635,0,0,0
6.7599999999999,634,0,0,0
6.7699999999999,630,0,0,0
6.7799999999999,636,0,0,0
6.7899999999999,636,0,0,0
6.7999999999999,636,0,0,0
6.8099999999999,637,0,0,0
6.8199999999999,632,0,0,0
6.8299999999999,628,0,0,0
6.8399999999999,627,0,0,0
6.8499999999999,627,0,0,0
6.8599999999999,629,0,0,0
6.8699999999999,622,0,0,0
6.8799999999999,614,0,0,0
6.8899999999999,615,0,0,0
6.8999999999999,615,0,0,0
6.9099999999999,610,0,0,0
6.9199999999999,606,0,0,0
6.9299999999999,612,0,0,0
6.9399999999999,615,0,0,0
6.9499999999999,617,0,0,0
6.9599999999999,620,0,0,0
6.9699999999999,614,0,0,0
6.9799999999999,608,0,0,0
6.9899999999999,608,0,0,0
6.9999999999999,607,0,0,0
7.0099999999999,604,0,0,0
7.0199999999999,605,0,0,0
7.0299999999999,604,0,0,0
7.03999999999989,603,0,0,0
7.04999999999989,608,0,0,0
7.05999999999989,607,0,0,0
7.06999999999989,605,0,0,0
7.07999999999989,604,0,0,0
7.08999999999989,602,0,0,0
7.09999999999989,600,0,0,0
7.10999999999989,599,0,0,0
7.11999999999989,595,0,0,0
7.12999999999989,595,0,0,0
7.13999999999989,596,0,0,0
7.14999999999989,600,0,0,0
7.15999999999989,597,0,0,0
7.16999999999989,594,0,0,0
7.17999999999989,594,0,0,0
7.18999999999989,595,0,0,0
7.19999999999989,595,0,0,0
7.20999999999989,597,0,0,0
7.21999999999989,598,0,0,0
7.22999999999989,600,0,0,0
7.23999999999989,601,0,0,0
7.24999999999989,597,0,0,0
7.25999999999989,598,0,0,0
7.26999999999989,601,0,0,0
7.27999999999989,607,0,0,0
7.28999999999989,612,0,0,0
7.29999999999989,611,0,0,0
7.30999999999989,606,0,0,0
7.31999999999989,608,0,0,0
7.32999999999989,607,0,0,0
7.33999999999989,604,0,0,0
7.34999999999989,594,0,0,0
7.35999999999989,588,0,0,0
7.36999999999989,590,0,0,0
7.37999999999989,595,0,0,0
7.38999999999989,593,0,0,0
7.39999999999989,595,0,0,0
7.40999999999989,594,0,0,0
7.41999999999989,591,0,0,0
7.42999999999989,590,0,0,0
7.43999999999989,590,0,0,0
7.44999999999989,592,0,0,0
7.45999999999989,592,0,0,0
7.46999999999989,590,0,0,0
7.47999999999988,594,0,0,0
7.48999999999988,588,0,0,0
7.49999999999988,588,0,0,0
7.50999999999988,589,0,0,0
7.51999999999988,583,0,0,0
7.52999999999988,581,0,0,0
7.53999999999988,583,0,0,0
7.54999999999988,575,0,0,0
7.55999999999988,574,0,0,0
7.56999999999988,575,0,0,0
7.57999999999988,573,0,0,0
7.58999999999988,573,0,0,0
7.59999999999988,578,0,0,0
7.60999999999988,578,0,0,0
7.61999999999988,573,0,0,0
7.62999999999988,575,0,0,0
7.63999999999988,578,0,0,0
7.64999999999988,578,0,0,0
7.65999999999988,577,0,0,0
7.66999999999988,574,0,0,0
7.67999999999988,577,0,0,0
7.68999999999988,574,0,0,0
7.69999999999988,573,0,0,0
7.70999999999988,574,0,0,0
7.71999999999988,575,0,0,0
7.72999999999988,577,0,0,0
7.73999999999988,574,0,0,0
7.74999999999988,573,0,0,0
7.75999999999988,570,0,0,0
7.76999999999988,576,0,0,0
7.77999999999988,577,0,0,0
7.78999999999988,580,0,0,0
7.79999999999988,581,0,0,0
7.80999999999988,581,0,0,0
7.81999999999988,585,0,0,0
7.82999999999988,582,0,0,0
7.83999999999988,584,0,0,0
7.84999999999988,582,0,0,0
7.85999999999988,583,0,0,0
7.86999999999988,580,0,0,0
7.87999999999988,579,0,0,0
7.88999999999988,577,0,0,0
7.89999999999988,581,0,0,0
7.90999999999988,581,0,0,0
7.91999999999988,575,0,0,0
7.92999999999988,573,0,0,0
7.93999999999988,572,0,0,0
7.94999999999987,569,0,0,0
7.95999999999987,567,0,0,0
7.96999999999987,561,0,0,0
7.97999999999987,559,0,0,0
7.98999999999987,562,0,0,0
7.99999999999987,559,0,0,0
8.00999999999987,558,0,0,0
8.01999999999987,558,0,0,0
8.02999999999987,557,0,0,0
8.03999999999987,556,0,0,0
8.04999999999987,557,0,0,0
8.05999999999987,559,0,0,0
8.06999999999987,555,0,0,0
8.07999999999987,553,0,0,0
8.08999999999987,550,0,0,0
8.09999999999987,547,0,0,0
8.10999999999987,546,0,0,0
8.11999999999987,546,0,0,0
8.12999999999987,545,0,0,0
8.13999999999987,545,0,0,0
8.14999999999987,546,0,0,0
8.15999999999987,550,0,0,0
8.16999999999987,547,0,0,0
8.17999999999987,548,0,0,0
8.18999999999987,552,0,0,0
8.19999999999987,553,0,0,0
8.20999999999987,556,0,0,0
8.21999999999987,558,0,0,0
8.22999999999987,556,0,0,0
8.23999999999987,561,0,0,0
8.24999999999987,563,0,0,0
8.25999999999987,561,0,0,0
8.26999999999987,559,0,0,0
8.27999999999987,554,0,0,0
8.28999999999987,549,0,0,0
8.29999999999987,549,0,0,0
8.30999999999987,548,0,0,0
8.31999999999987,554,0,0,0
8.32999999999987,556,0,0,0
8.33999999999987,556,0,0,0
8.34999999999987,554,0,0,0
8.35999999999987,553,0,0,0
8.36999999999987,552,0,0,0
8.37999999999987,549,0,0,0
8.38999999999987,548,0,0,0
8.39999999999987,547,0,0,0
8.40999999999987,545,0,0,0
8.41999999999986,549,0,0,0
8.42999999999986,549,0,0,0
8.43999999999986,546,0,0,0
8.44999999999986,545,0,0,0
8.45999999999986,547,0,0,0
8.46999999999986,551,0,0,0
8.47999999999986,552,0,0,0
8.48999999999986,551,0,0,0
8.49999999999986,549,0,0,0
8.50999999999986,546,0,0,0
8.51999999999986,545,0,0,0
8.52999999999986,541,0,0,0
8.53999999999986,549,0,0,0
8.54999999999986,547,0,0,0
8.55999999999986,542,0,0,0
8.56999999999986,542,0,0,0
8.57999999999986,543,0,0,0
8.58999999999986,544,0,0,0
8.59999999999986,539,0,0,0
8.60999999999986,537,0,0,0
8.61999999999986,542,0,0,0
8.62999999999986,540,0,0,0
8.63999999999986,538,0,0,0
8.64999999999986,539,0,0,0
8.65999999999986,539,0,0,0
8.66999999999986,534,0,0,0
8.67999999999986,538,0,0,0
8.68999999999986,529,0,0,0
8.69999999999986,525,0,0,0
8.70999999999986,524,0,0,0
8.71999999999986,526,0,0,0
8.72999999999986,530,0,0,0
8.73999999999986,523,0,0,0
8.74999999999986,530,0,0,0
8.75999999999986,533,0,0,0
8.76999999999986,533,0,0,0
8.77999999999986,530,0,0,0
8.78999999999986,523,0,0,0
8.79999999999986,520,0,0,0
8.80999999999986,516,0,0,0
8.81999999999986,516,0,0,0
8.82999999999986,523,0,0,0
8.83999999999986,521,0,0,0
8.84999999999986,520,0,0,0
8.85999999999986,516,0,0,0
8.86999999999986,507,0,0,0
8.87999999999986,507,0,0,0
8.88999999999985,504,0,0,0
8.89999999999985,504,0,0,0
8.90999999999985,506,0,0,0
8.91999999999985,508,0,0,0
8.92999999999985,504,0,0,0
8.93999999999985,504,0,0,0
8.94999999999985,505,0,0,0
8.95999999999985,505,0,0,0
8.96999999999985,504,0,0,0
8.97999999999985,498,0,0,0
8.98999999999985,499,0,0,0
8.99999999999985,498,0,0,0
9.00999999999985,496,0,0,0
9.01999999999985,491,0,0,0
9.02999999999985,492,0,0,0
9.03999999999985,491,0,0,0
9.04999999999985,493,0,0,0
9.05999999999985,485,0,0,0
9.06999999999985,479,0,0,0
9.07999999999985,480,0,0,0
9.08999999999985,482,0,0,0
9.09999999999985,479,0,0,0
9.10999999999985,480,0,0,0
9.11999999999985,477,0,0,0
9.12999999999985,478,0,0,0
9.13999999999985,479,0,0,0
9.14999999999985,475,0,0,0
9.15999999999985,477,0,0,0
9.16999999999985,476,0,0,0
9.17999999999985,473,0,0,0
9.18999999999985,471,0,0,0
9.19999999999985,472,0,0,0
9.20999999999985,470,0,0,0
9.21999999999985,466,0,0,0
9.22999999999985,470,0,0,0
9.23999999999985,473,0,0,0
9.24999999999985,475,0,0,0
9.25999999999985,467,0,0,0
9.26999999999985,463,0,0,0
